! FILETYPE CSV
! VERSION 1.0,2
! TIMESTAMP Tuesday, 19 June 2018 11:05:47
! NAME Agilent Technologies
! MODEL N9923A
! SERIAL MY51491501
! FIRMWARE_VERSION A.05.34
! GPS_LATITUDE 
! GPS_LONGITUDE 
! GPS_TIMESTAMP 0001-01-01 00:00:00Z
! GPS_SECS_SINCE_LAST_READ 0
! CHECKSUM 0069129320
! CORRECTION1 ON U
! DATA Freq,S11
! FREQ UNIT Hz
! DATA UNIT dB
BEGIN
2000000,-0.00368337443031734
2998000,-0.0137346017781796
3996000,-0.0640704966568926
4994000,-0.138300651840915
5992000,-0.337922803760291
6990000,-1.41127215671782
7988000,-0.981892657951955
8986000,-0.795714390683197
9984000,-0.480157883628607
10982000,-0.389714528185458
11980000,-0.311136024258428
12978000,-0.310329177282947
13976000,-0.415398366969952
14974000,-0.364344829760315
15972000,-0.364309131327071
16970000,-0.342998586749139
17968000,-0.32680869662782
18966000,-0.306038412167512
19964000,-0.355821695189563
20962000,-0.357611002427149
21960000,-0.543527715897524
22958000,-0.810574804196357
23956000,-0.908946687831698
24954000,-0.845068647891726
25952000,-0.768491338513802
26950000,-0.954536516792414
27948000,-0.914180854306913
28946000,-0.985084323891132
29944000,-0.902342796243584
30942000,-0.743449118369559
31940000,-0.580322261884922
32938000,-0.464173344487194
33936000,-0.364587240142122
34934000,-0.306905741949223
35932000,-0.280366515457156
36930000,-0.30364815573
37928000,-0.390658272997927
38926000,-0.507821290275482
39924000,-0.674478772642583
40922000,-0.829512082760843
41920000,-0.932507337008179
42918000,-1.07179000398043
43916000,-1.25464356914354
44914000,-1.47734404748685
45912000,-1.75317318593284
46910000,-2.08904825371343
47908000,-2.31005289255659
48906000,-2.46344326737404
49904000,-2.8238195332905
50902000,-3.25579052455207
51900000,-3.73163456939159
52898000,-3.56057618333747
53896000,-3.10513081652954
54894000,-2.62557454678411
55892000,-2.22625341061662
56890000,-1.90164067714938
57888000,-1.72205216874432
58886000,-1.570109277933
59884000,-1.48256647665621
60882000,-1.41620516632356
61880000,-1.36922871526266
62878000,-1.3371341243037
63876000,-1.31380347963621
64874000,-1.33173330132818
65872000,-1.39640666481347
66870000,-1.51252757283237
67868000,-1.67563342904579
68866000,-1.94165094926143
69864000,-2.33794083475572
70862000,-2.95607314240481
71860000,-3.80949861217506
72858000,-4.9057117258657
73856000,-6.12556179848333
74854000,-6.9627822872213
75852000,-7.04149308283914
76850000,-6.67429275751161
77848000,-6.03925270051059
78846000,-4.93656526175296
79844000,-4.06757141337914
80842000,-3.66097219254357
81840000,-3.27096993791651
82838000,-2.87475521957095
83836000,-2.44072314181874
84834000,-2.00067377712475
85832000,-1.78309745961967
86830000,-1.67939254988416
87828000,-1.50281818287845
88826000,-1.38383154627932
89824000,-1.27524457672061
90822000,-1.1781964196134
91820000,-1.0836321040481
92818000,-1.00330751603838
93816000,-0.949055974788966
94814000,-0.885240870244459
95812000,-0.809022964786035
96810000,-0.752048750288481
97808000,-0.703658694868596
98806000,-0.676218843051507
99804000,-0.679174256020514
100802000,-0.701128043924448
101800000,-0.719465762321653
102798000,-0.736728623565681
103796000,-0.764292407094314
104794000,-0.792926035497569
105792000,-0.867115717684648
106790000,-0.990484638928865
107788000,-1.11944977507013
108786000,-1.23684343593988
109784000,-1.3153955068509
110782000,-1.35158916267027
111780000,-1.32614039337005
112778000,-1.25833601446055
113776000,-1.19167081715412
114774000,-1.11818270743788
115772000,-1.032483193381
116770000,-0.933049249719548
117768000,-0.854162570526644
118766000,-0.797297887383401
119764000,-0.766312141853688
120762000,-0.796944580116647
121760000,-0.830683204458787
122758000,-0.890285754627186
123756000,-0.912676291722469
124754000,-0.945242084876676
125752000,-0.940992835764887
126750000,-0.924049932760153
127748000,-0.894501108202269
128746000,-0.822674799684708
129744000,-0.754624186471822
130742000,-0.692942293816396
131740000,-0.65683836332288
132738000,-0.631438608495169
133736000,-0.592247226846351
134734000,-0.561420815175022
135732000,-0.541771025060195
136730000,-0.526976432466818
137728000,-0.509716300993957
138726000,-0.499612732377913
139724000,-0.480740812154446
140722000,-0.457416171863874
141720000,-0.442866368175083
142718000,-0.433670439946645
143716000,-0.426162249976185
144714000,-0.421763998743257
145712000,-0.423250167855109
146710000,-0.420734320404213
147708000,-0.419054458815801
148706000,-0.430635637074097
149704000,-0.434645541272919
150702000,-0.440112073560694
151700000,-0.448084236834632
152698000,-0.459660835368487
153696000,-0.468035148950043
154694000,-0.480387086979073
155692000,-0.492563401808502
156690000,-0.509812874647241
157688000,-0.532414869538352
158686000,-0.53995434067366
159684000,-0.544484942731017
160682000,-0.558506172398556
161680000,-0.56598790988908
162678000,-0.563958700338641
163676000,-0.566373096689862
164674000,-0.574883679762523
165672000,-0.588641049905093
166670000,-0.603787062387486
167668000,-0.63233503401489
168666000,-0.660237325430543
169664000,-0.705540349639513
170662000,-0.757579875430987
171660000,-0.821768624974382
172658000,-0.887545850995719
173656000,-0.954973386412549
174654000,-1.03675666152625
175652000,-1.11975970831549
176650000,-1.2243168571304
177648000,-1.35055187731892
178646000,-1.51195271513484
179644000,-1.73269962230606
180642000,-2.02032896792796
181640000,-2.37841030210616
182638000,-2.75830799822754
183636000,-3.05651545210641
184634000,-3.12507539807847
185632000,-2.91060730798932
186630000,-2.50761132079573
187628000,-2.0894487990919
188626000,-1.73230904795963
189624000,-1.46100768468704
190622000,-1.27251748438609
191620000,-1.14022506355787
192618000,-1.04992692969003
193616000,-0.98239654809296
194614000,-0.935285924886458
195612000,-0.898224501909807
