"Freq [GHz]","dB(S(1,1)) []"
0.002,-0.000374561259655391
0.002998,-0.000621449679613002
0.003996,-0.000959385249734069
0.004994,-0.00138204749208021
0.005992,-0.00188317149911123
0.00699,-0.00245816242284133
0.007988,-0.00310634234551064
0.008986,-0.00383403742177614
0.009984,-0.00465879832647005
0.010982,-0.00537801863987591
0.01198,-0.00623876812397759
0.012978,-0.00726779032463652
0.013976,-0.00849219767905594
0.014974,-0.00994435023018706
0.015972,-0.0116633287376178
0.01697,-0.0136968473230898
0.017968,-0.0161037521312755
0.018966,-0.0189573129070499
0.019964,-0.0223495992177891
0.020962,-0.0263973528645912
0.02196,-0.0312499374003668
0.022958,-0.0371001833596832
0.023956,-0.0441992745209213
0.024954,-0.0528772494007372
0.025952,-0.0635711991477076
0.02695,-0.0768636849259358
0.027948,-0.0935337998900392
0.028946,-0.114621328556221
0.029944,-0.141497176634734
0.030942,-0.175912486598611
0.03194,-0.21994726938101
0.032938,-0.275668310033289
0.033936,-0.344121797816168
0.034934,-0.42317201010332
0.035932,-0.504310955973401
0.03693,-0.571011549812132
0.037928,-0.603944109851931
0.038926,-0.59340872962297
0.039924,-0.54671712059387
0.040922,-0.481277009668968
0.04192,-0.412880351658617
0.042918,-0.350545571339075
0.043916,-0.297534604858822
0.044914,-0.253947343865224
0.045912,-0.218617619805048
0.04691,-0.190087473762535
0.047908,-0.167004786827048
0.048906,-0.148242337064201
0.049904,-0.132903073260236
0.050902,-0.120287514599876
0.0519,-0.109854215478173
0.052898,-0.101184206199985
0.053896,-0.0939521656523693
0.054894,-0.0879040970747644
0.055892,-0.0828403995411678
0.05689,-0.0786031413437836
0.057888,-0.0750665103400835
0.058886,-0.0721296343795213
0.059884,-0.0697111615660299
0.060882,-0.0677451476754781
0.06188,-0.0661779178177046
0.062878,-0.0649656581712501
0.063876,-0.0640725585775902
0.064874,-0.0634693741242732
0.065872,-0.0631323083612708
0.06687,-0.0630421460484573
0.067868,-0.0631835819230796
0.068866,-0.0635447057824056
0.069864,-0.0641166145494012
0.070862,-0.0648931299066532
0.07186,-0.0658706062577678
0.072858,-0.0670478187348605
0.073856,-0.0684259251159975
0.074854,-0.0700084991654737
0.075852,-0.0718016363270987
0.07685,-0.0738141361266249
0.077848,-0.076057769309338
0.078846,-0.0785476419098219
0.079844,-0.0813026734203093
0.080842,-0.0843462123645595
0.08184,-0.0877068203778406
0.082838,-0.0914192659847025
0.083836,-0.0955257825362872
0.084834,-0.100077662437557
0.085832,-0.105137283577244
0.08683,-0.110780696200863
0.087828,-0.117100942828169
0.088826,-0.124212345256862
0.089824,-0.132256078588673
0.090822,-0.141407473439387
0.09182,-0.151885660242715
0.092818,-0.163966418159055
0.093816,-0.17799945242263
0.094814,-0.194431854321505
0.095812,-0.213840283976069
0.09681,-0.236975591264985
0.097808,-0.264825360771809
0.098806,-0.298702548083159
0.099804,-0.340372440201293
0.100802,-0.38493353279114
0.1018,-0.438806259580165
0.102798,-0.506652546885704
0.103796,-0.592616074511231
0.104794,-0.702313667563272
0.105792,-0.843317190168398
0.10679,-1.02562177275608
0.107788,-1.26172957415745
0.108786,-1.56529564342798
0.109784,-1.94582239921868
0.110782,-2.39483761267902
0.11178,-2.86042109529708
0.112778,-3.22575973003627
0.113776,-3.34649669000224
0.114774,-3.16770425056937
0.115772,-2.78063775818346
0.11677,-2.32854153185098
0.117768,-1.9078900210121
0.118766,-1.55547318386583
0.119764,-1.27388432822006
0.120762,-1.05294327147531
0.12176,-0.880149088612899
0.122758,-0.744435592815914
0.123756,-0.637016529900367
0.124754,-0.551214280443245
0.125752,-0.482036210061703
0.12675,-0.425761322018987
0.127748,-0.379606436296229
0.128746,-0.341475094582013
0.129744,-0.30977422748555
0.130742,-0.28328177797734
0.13174,-0.261051277056493
0.132738,-0.242342821037177
0.133736,-0.22657283583488
0.134734,-0.21327723410029
0.135732,-0.202084169061199
0.13673,-0.192693713654184
0.137728,-0.184862578155924
0.138726,-0.178392526041201
0.139724,-0.17312152947191
0.140722,-0.168916973768053
0.14172,-0.165670409601818
0.142718,-0.163293486583533
0.143716,-0.161714798884218
0.144714,-0.160877443918696
0.145712,-0.160737146751554
0.14671,-0.16126084126238
0.147708,-0.162425628073421
0.148706,-0.164218051551493
0.149704,-0.166633655840814
0.150702,-0.169676794346546
0.1517,-0.173360679509965
0.152698,-0.177707671019048
0.153696,-0.182749811585468
0.154694,-0.188529630849597
0.155692,-0.195101250640574
0.15669,-0.202531839614487
0.157688,-0.21090348331157
0.158686,-0.220315558308195
0.159684,-0.230887728243239
0.160682,-0.242763717584663
0.16168,-0.256116069549704
0.162678,-0.271152162472947
0.163676,-0.28812185103945
0.164674,-0.307327225053339
0.165672,-0.329135153085145
0.16667,-0.353993522260857
0.167668,-0.382452429232592
0.168666,-0.415192066335001
0.169664,-0.453059748655316
0.170662,-0.497119543457591
0.17166,-0.548719445105307
0.172658,-0.609583214089192
0.173656,-0.681937206001973
0.174654,-0.768687245205337
0.175652,-0.873667522306553
0.17665,-1.00199343271575
0.177648,-1.16056388373247
0.178646,-1.3587752374772
0.179644,-1.60952316608422
0.180642,-1.93055900443094
0.18164,-2.34616522255976
0.182638,-2.8887131390047
0.183636,-3.59835326830107
0.184634,-4.51511692294728
0.185632,-5.64678488983555
0.18663,-6.87528946952816
0.187628,-7.79679264999293
0.188626,-7.83077930415775
0.189624,-6.94370031076978
0.190622,-5.70377160398919
0.19162,-4.54360821198444
0.192618,-3.59890009549643
0.193616,-2.86695832639113
0.194614,-2.30789152887131
0.195612,-1.88040008714097
0.19661,-1.55090519396704
0.197608,-1.29417237163824
0.198606,-1.09177435407412
0.199604,-0.930361220947336
0.200602,-0.800243675603084
0.2016,-0.694342563342405
0.202598,-0.607439546941278
0.203596,-0.535649960979522
0.204594,-0.476052574254647
0.205592,-0.426428222540338
0.20659,-0.385073586131908
0.207588,-0.35066690856968
0.208586,-0.32216982374957
0.209584,-0.298754529993662
0.210582,-0.279749030339867
0.21158,-0.264595559589463
0.212578,-0.25281898295885
0.213576,-0.244003095197334
0.214574,-0.237773503282722
0.215572,-0.233786218735575
0.21657,-0.231721272915768
0.217568,-0.231280656959592
0.218566,-0.232189749079008
0.219564,-0.234201213867679
0.220562,-0.237100232348321
0.22156,-0.240709919966757
0.222558,-0.244895944409126
0.223556,-0.249569648108502
0.224554,-0.254689352312012
0.225552,-0.260259892521497
0.22655,-0.266330738987735
0.227548,-0.272993248670789
0.228546,-0.280377669189108
0.229544,-0.288650491888938
0.230542,-0.298012667064202
0.23154,-0.308699088687054
0.232538,-0.320979661021708
0.233536,-0.335162196748773
0.234534,-0.351597377233769
0.235532,-0.370686034947311
0.23653,-0.392889097418071
0.237528,-0.418740663725139
0.238526,-0.448864874239369
0.239524,-0.483997493973942
0.240522,-0.525013479842208
0.24152,-0.572962274134295
0.242518,-0.62911320803976
0.243516,-0.695014279394369
0.244514,-0.772568788721966
0.245512,-0.864136023578689
0.24651,-0.972664587641451
0.247508,-1.10187039515838
0.248506,-1.25647627016027
0.249504,-1.44253723791856
0.250502,-1.66788614907329
0.2515,-1.94275022249629
0.252498,-2.28061404896689
0.253496,-2.69944573026905
0.254494,-3.2234755532765
0.255492,-3.8858563740944
0.25649,-4.73282694696153
0.257488,-5.83065189201903
0.258486,-7.27811142417181
0.259484,-9.23045826516133
0.260482,-11.9419319391751
0.26148,-15.7360552862834
0.262478,-19.2485478990646
0.263476,-16.7807572248231
0.264474,-12.8200900095147
0.265472,-9.94292072108215
0.26647,-7.88868332182564
0.267468,-6.37428688981487
0.268466,-5.22710950541813
0.269464,-4.33979923676565
0.270462,-3.64198142929833
